region,Type,Package,Channels,Price
UK,1,SkyQ Multiscreen,Access to use Q everywhere (Mandatory for Existing Sky Q customers),12
UK,1,Sky Multiroom,Sky Subscribers,12
UK,1,Chelsea TV,Chelsea TV and Chelsea TV HD,7
UK,1,LFC TV,LFC TV and LFC TV HD,7
UK,1,MUTV,MUTV and MUTV HD,7
UK,1,Sky Asia, SET Asia - Sony Max -  B4U Movies - Zee TV - Zee Cinema - Zee Punjabi and ARY Digital,15
