region,Type,Package,Basic,Sky Movies,Sky Sports,Sky Sports and Sky Movies
UK,1,Sky Q Silver Bundle,54,71,79.5,88.5
UK,1,Sky Q Bundle,42,59,67.5,76.5
UK,2,Sky Family,36,53,61.5,70.5
UK,2,Sky Variety,30,47,55.5,64.5
UK,2,Sky Original,20,37,45.5,54.5
