region,Type,Package,Channels,Price
UK,1,Sky Sports 2,Sky Sports 2 and 5,14
UK,1,Chelsea TV,Chelsea TV and Chelsea TV HD,7
UK,1,LFC TV,LFC TV and LFC TV HD,7
UK,1,MUTV,MUTV and MUTV HD,7
UK,1,Sky Asia, SET Asia - Sony Max -  B4U Movies - Zee TV - Zee Cinema - Zee Punjabi and ARY Digital,15
