region,Type,Package,Basic,Sky Movies,Sky Sports,Sky Sports and Sky Movies
UK,1,Sky Q Silver Bundle,56,74,83.5,92
UK,1,Sky Q Bundle,44,62,71.5,80
UK,2,Sky Box Sets,38,56,65.5,74
UK,2,Sky Variety,32,50,59.5,68
UK,2,Sky Original,22.5,40.5,50,58.5
UK,3,Sky Box Sets - Legacy,38,56,65.5,74
UK,3,Sky Variety - Legacy,32,50,59.5,68
UK,3,Sky Original - Legacy,22.5,40.5,50,58.5
