region,Type,Package,Channels,Price
IR,1,SkyQ Multiscreen,Sky Subscribers,16
IR,1,Sky HD Subscription,Sky Subscribers,17
IR,1,Sky+ subscription,non-Sky Subscribers recording feature,15
