region,Type,Package,Channels,Price
IR,1,Chelsea TV,Chelsea TV and Chelsea TV HD,8
IR,1,LFC TV,LFC TV and LFC TV HD,9
IR,1,MUTV,MUTV and MUTV HD,8
IR,1,Sky Asia, SET Asia - Sony Max -  B4U Movies - Zee TV - Zee Cinema - Zee Punjabi and ARY Digital,20
